,Timestamp_x,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,client_type,name_ap,class,Timestamp_y,code_ap,channel_1,channel_2,ch_utilization_1,ch_utilization_2,noise_x,noise_y,tx_power_1,tx_power_2,n_clients_2_4,n_clients_5
1501,1709919713.4442668,76f1b4704692d7320f344d6e7638387d07e18c4e2d72b26c7b9fffa26353ebac,808c3e1a3b02a8e027394fc7d63c1d276b8521c9ddb0406843472af2fbdefb4a,studenti.polito.it,-60,29,391812,184485,11.0,AP-TOOLBOX-03,Student,1709919725.9061918,8.69.209.19.16.192,1.0,112.0,27.0,1.0,-92.0,-94.0,4.0,2.0,0.0,4.0
1502,1709919713.4442668,5dc18f7134482926449320675ef4a4cafa33e9232efd38360bdccc860854b786,440225d48c4b7972b54ceb2d9e5b78bcd554abaaffeb4177b9fab297535c5761,polito.it,-60,33,65462965,21727973,10.0,AP-CIT-DET3-02,Staff,1709919725.9061918,64.1.122.169.49.240,11.0,60.0,10.0,0.0,-84.0,-91.0,2.0,1.0,1.0,10.0
1503,1709919713.4442668,db6c9651892cf1a09d1faced1bbedbc0964207651b033dba8baf9085e2c40e2a,18363b297abf9267241f198b5b0d720e336198987519d361da39a0fd5c920ab2,studenti.polito.it,-57,37,85377,47957,10.0,AP-VALE-BCA-ST-01,Student,1709919725.9061918,0.53.26.162.43.160,6.0,64.0,5.0,0.0,-95.0,-89.0,2.0,1.0,5.0,21.0
1504,1709919713.4442668,daf3744fccbf7bf25530ee729f24409018c2f122b4139922886961af91f3b63b,956eed3f4c75ad68d09bc4ff6cad404c7881831e1bfe21c946d0b45097c76bfb,studenti.polito.it,-75,14,346181,243937,10.0,AP-CORRIDOIOAULER-12,Student,1709919725.9061918,100.246.157.173.228.160,6.0,52.0,0.0,0.0,,-94.0,5.0,4.0,0.0,1.0
1505,1709919713.4442668,497ed817206e306819c5441a56ef559e4a824f50c9b4ff979d4d63a285e8a873,e36a6f24aaadfab64b087a5d80949654b405b340b3c64072c326c7c5a2beca9f,studenti.polito.it,-61,33,9022,7902,6.0,AP-MIXTO-04,Student,1709919725.9061918,188.38.199.211.66.224,6.0,100.0,12.0,0.0,-82.0,-97.0,5.0,7.0,6.0,0.0
1506,1709919713.4442668,479e15bc7c8cb66cad4ec51ca46cc04318d18252e0b3b3a5cc2e94006a903e99,122718bbbdda523e8cee94ea55e7a2d93e5d320a9920ba08aac73e6e1e625abe,polito.it,-63,30,16175775,1359140,10.0,AP-CIT-DET4-01,Staff,1709919725.9061918,100.246.157.49.129.64,11.0,60.0,17.0,0.0,-92.0,-87.0,3.0,2.0,1.0,3.0
1507,1709919713.4442668,c6ab22890a9b23657ff85ec62ea870bb2c8a21f1440742fe0e1450fc3aca4db9,006c520b385f80e4066412658235653ec20cd12563036ee7b19b0acbc5a417d1,polito.it,-66,27,49069,36787,6.0,AP-TRENTO-TR1A-01,Staff,1709919725.9061918,100.246.157.102.66.80,1.0,44.0,36.0,3.0,-93.0,-91.0,4.0,1.0,2.0,6.0
1508,1709919713.4442668,363d26bbaa9f6223d6b860bf91fc0b4a2fc30e3e409682a3bd1d26f668147132,ee674a95b35557ae49a804c8ce19897eaa40cb6bf0733f20ca1bc33807ca89f9,polito.it,-73,26,254668907,20029469,6.0,AP-VALE-AULA4V,Staff,1709919725.9061918,244.207.226.79.146.144,1.0,64.0,18.0,0.0,-95.0,-91.0,1.0,1.0,3.0,0.0
1509,1709919713.4442668,7c53108931b04e19425ad92e3798cbe712b4577a49acceebbfc40b6425eb27d0,e04698c541ca16803bce056bd2a52c00e23ea1aebcae2178900fa13b57c3ed96,studenti.polito.it,-88,5,568816,201319,6.0,AP-RETTORATO-CDA,Student,1709919725.9061918,0.53.26.158.34.176,1.0,100.0,27.0,0.0,-93.0,-94.0,1.0,1.0,9.0,0.0
1510,1709919713.4442668,29072278be3fa6b83c83d41f075880c81e702c8f673773eda3fd9bead44372a6,8ba6a42a968c04e003a6aecdd137900da3d21025be6d09301c4d93af55166c3b,polito.it,-43,46,6295915,3154525,10.0,AP-CIT-DAUIN2-02,Staff,1709919725.9061918,24.128.144.163.51.176,1.0,48.0,43.0,5.0,-70.0,-85.0,1.0,1.0,2.0,31.0
