,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
2284,cfe640fd5e2c07faa4b9b9a3fe5aaadf578b391900902e8f15c25b6d78745c42,0e1c03527df158fba50e8d7b760c4e1f870f7e12bae0aed2763cc83c9d920d92,studenti.polito.it,-54.0,37.0,43731286.0,3556841,AP-VALE-AULA4V,Student
2285,15bddc7de643e5f84a450dadec65336ac23a5ae3778fa1ed0e99fa0ff0c83f8b,7162ddc5322d394b7e7c7f8b5335392c0431583a6f637cef2c559dd72c4f5275,studenti.polito.it,-71.0,20.0,6710585.0,1850012,AP-VALE-BCA-03,Student
2286,2479788784f29101d7dd0c3ddd700804e7e6c64407099072df6de4999ae7245d,972ff3316f6c914834ea662d6bd0862f6f2c92ade6d372d27df5a161b1616411,studenti.polito.it,-49.0,41.0,31955425.0,4150184,AP-VALE-BCA-04,Student
2287,06ddfc937a066af7bfa8a9e2443f68d7706aebb151a7c821a921ef0ce21e05b7,22ed0fd6aee93d2b72af1339acc7dd9cfa4aee1955b45ccbac75d42516caca98,polito.it,-51.0,43.0,131136.0,122952,AP-DICHI-3O-P3-03,Staff
2288,3759ae62eb9d764f05793b05ad086db481342ceade8358058a50181e5ecbc477,5a67fcab6d3add6fb853a76e283cace0a1b959f9d4a3d67fce1479e6d907981d,polito.it,-68.0,21.0,288566461.0,15732169,AP-AMM-1N-XP01-01,Staff
2289,1b9f0bd08152129f6d500780d996a3d4f41eb5afd33e2e82ce38d85f9984f48f,7f7d1843672e3635113d7e60b90b7149243c21b8b7fc2079524c276c3e5186d2,polito.it,-73.0,19.0,833715199.0,1278562384,AP-DISTR05,Staff
2290,eb42fa58ce913f305150a20c5c9619d4b603b9f8d910ae66c09ea279d91e7d8d,18c54741a69a99984aed35f07729384e52e98148ba7aff4dfe79ca0a3b36dfed,studenti.polito.it,-51.0,41.0,160391724.0,34994860,AP-BCI-06,Student
2291,a30f5d790cb9767c623a185561eb6da296499b390152fb10796ba708c1c6855c,80c48465dee61c9a60175d0cc393b30c4a1dce62534766fb0246c64977d8b5e2,studenti.polito.it,-54.0,42.0,1858616.0,952031,AP-AULA11-02,Student
2292,5ae57137a4e1e96d8ffb752aad204671c2a4a1cb91f99ee66fa9dc1a4aacac87,6d9c3603bef5a07268569a288deba1101d17e44bc8e513d442fb6427bc4d6fcc,studenti.polito.it,-75.0,16.0,9235519.0,972174,AP-LING-AULA300-2,Student
2293,0990d67d37646d55a1cfdb41eedae2b5bb1964ff3afac1a5ba7d1a92157a14dd,79c8c4d460be649576ab22b3885cdba9e0fa87eb9705636456ecec56e08beaa0,studenti.polito.it,-54.0,42.0,397685539.0,33859344,AP-COV-C3B-XP03-08,Student
