,mac_user,username,domain,rssi,snr,byte_rx,byte_tx,class
10749,c3:33:e2:a:22:e2,c55c628ef0e6967f6556f833ef37b523,studenti.polito.it,-54.0,40.0,90589104.0,8371859.0,Students
10750,c3:34:3f:8f:9d:b9,c7f6ebfe860c4341448cd4caf9a4ba27,studenti.polito.it,-67.0,28.0,66616466.0,6677105.0,Students
10751,c3:34:6b:5b:2e:37,b069c51395b8e8b0355f0edd90754f85,studenti.polito.it,-43.0,50.0,8986830.0,2365417.0,Students
10752,c3:34:a8:42:2f:69,22c7234f7faed188430c9f6ee619c7e3,studenti.polito.it,-51.0,43.0,29279686.0,1165131.0,Students
10753,c3:35:2e:bf:a9:8,ac0094cbab44b2c7250dde25b6e2dcea,studenti.polito.it,-55.0,38.0,7217603.0,195151107.0,Students
10754,c3:35:c6:68:87:fe,ef0710e0af5c2e225da8a7c60b302509,studenti.polito.it,-61.0,34.0,817393683.0,6005728.0,Students
10755,c3:36:6b:fd:dc:b2,6ed71557be94973c1b5aaa633a9aaead,studenti.polito.it,-49.0,43.0,19622880.0,6094761.0,Students
10756,c3:37:c4:62:56:3a,da855bf9383bf77b8e6c316e8fb8fc95,studenti.polito.it,-83.0,11.0,13078978.0,951214.0,Students
10757,c3:37:cb:27:d9:76,43cabe6c7410c1ee9597305ee5beddca,studenti.polito.it,-53.0,43.0,3536540.0,1059216.0,Students
10758,c3:3a:81:44:91:7d,d1b3159bf810f8c7f7351b693661051c,studenti.polito.it,-76.0,18.0,115637890.0,5908436.0,Students
10759,c3:3b:b2:c2:79:cd,fe943bcce237bc3c65060efcc02f9269,studenti.polito.it,-91.0,6.0,2520778.0,473971.0,Students
