,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,class
1486,33a5ec58a39ed0d2be9275b81e79446fc30b161274a9b9c8ac1cf4bb5874f3b2,1c4dc9d8091ce2b09eb781b2389c4e8316312d6127d56ea73cda7a37f5cb9f4f,studenti.polito.it,-51.0,42.0,5569258.0,1573577.0,Students
1487,5d81c2103a105b811025dedf3cd8f1ce44b7a74038317d02efa016eed8b7fd0a,68bc26081917ad35c6d9b3b31fec9cf94224297b375a5572933bb63d7217dadd,studenti.polito.it,-46.0,49.0,107278029.0,280419229.0,Students
1488,5e21647bc6672fb058429bddc041d4368222366ffe949cc132cae88edd16b168,3197d83ff74b12d982a80654acea60a54a8381d5f78cd79a5ce90607828b35a0,studenti.polito.it,-47.0,46.0,12643080.0,996680.0,Students
1489,82f37ae772abed30812780afb1f9266f80e00fdacca48d8a909971ad2513df08,30ed4ec5b62d402f0c1afa68f254c4ff8eff1e64be35b9c8280669cb0762d6a7,studenti.polito.it,-63.0,26.0,101636499.0,60763345.0,Students
1490,7b0fd4fd49ec9a95d1fe39abbcf81433ee97deb21c9d9fa1b1ad2362c9bbe885,38b4d06a5380e023c43557ff74ffca649a7bfe370fd4b449f86e6ac6a7569e66,studenti.polito.it,-65.0,31.0,291661480.0,9110206.0,Students
1491,915fb0adb54f0a49fb4f5ef14dbbe4d6b03e12bf27e9153b927c229f83cfbfc1,09d7666f2dac2f321c5234bca3ce03bffb6a20679254bbfc00886e21a064111c,studenti.polito.it,-55.0,34.0,31168743.0,21610728.0,Students
1492,b34b1c0325d1c762e34cb4435155a934ed881dd344eda720128f83e7445a37d2,eb6e9d61835efcef586a596024ac08381533a9301aa9bb3c40e6373fec4ab491,studenti.polito.it,-61.0,33.0,165505741.0,5081738.0,Students
1493,1558938c2c9b9878ef0cf36dd303e943029669a79b30a3b43f86caa935dbcf66,0b6a6882396a8b6653a034cd045740dcd4379642700113e5c23aea559ef23d7d,studenti.polito.it,-55.0,37.0,149363.0,41074.0,Students
1494,6683b0877a4b3d8371059a6bb2fb924a6b1367d4f1d5293dd68768307bf3f4e5,1a8ae778ea30b6be95d1dba298c0eeb13d319b7401bb01c910b01dbf0a0bdf31,studenti.polito.it,-56.0,34.0,114022020.0,9963331.0,Students
1495,2efad2d942708fa931804afb6daf8d96afb51e4dd6d1174db7ab691b75496304,5509ef6657b2fd5571bd9c4a62ebddd1e0a99cb848ab94d18c667246d760ab5d,studenti.polito.it,-55.0,39.0,521948030.0,14174906.0,Students
1496,6c5a7b6b256c7632dbed4eb94b48475dd318c23eb5e63a10cc842e86cbd8118d,23b21d38558c52e4bb96a638052ab43467373bccd422b8dec8e2bd7eb1a038d3,studenti.polito.it,-55.0,35.0,377242296.0,4710922.0,Students
1497,e8a768f4c9f1056316bee48b4c077bbe314c8b0c07c8308b796dec6af3b49378,36bac951c1898e4208d9c761129f3930565148a15e275caae020b850e0ca0244,studenti.polito.it,-45.0,48.0,82415946.0,5641001.0,Students
1498,93f1c4dfd78f253ce582a3f6c9db868012d2895c0d59b14a33a9084ebbd0492f,1159869896f382a22008faee0ca147887d556c5cb3a911721beb5c25948217ec,studenti.polito.it,-48.0,45.0,13820865.0,21752800.0,Students
1499,68f9fe2a833f3c70fc9601e6711966018fc9582c2ce77d180c126c46a3b9a93b,6657f182eeca867189627f4ecee00116c0b4c28c96e0095a124e38fe608ab50f,studenti.polito.it,-65.0,31.0,1380680.0,929479.0,Students
1500,fafc90643b7494d91f0d7301fb05ee25f2a91e7a2871687e6ff10119f8c33caf,bafd7925b642052f645f433a7b3c3ef04c9ae6441d58b604f7cc55caed00bb50,studenti.polito.it,-53.0,42.0,308703280.0,28389517.0,Students
