,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
7885,7c286ffd421db6c81af49d3a9d3c4a81b6e55eca2cb78233676c598b31ac828c,fd66b3399851f31ea33b15e0b82b7b8053bd417a008d8d156ed2c387dc2264ee,studenti.polito.it,-52.0,40.0,37433308.0,8690986,AP-LAIB3D-01,Student
7886,9949dc4b15f6cdb44dd57dc813f3f337316aaf8f8d34d2bee54529f9a8495421,4a8281e41ecbaa3876d890aa648148aca6cd9ec558c8715dce9618d9a82daef7,studenti.polito.it,-51.0,41.0,63055537.0,7713452,AP-AULA9S-01,Student
7887,6c76edf4e556c08dd8069ddbb5002560feadef90b10dff33bcbee473b0cc58c8,c2db16425a5bf2cc2f536a1522d09ad3e0c110ab7d862e019b689217692c433c,studenti.polito.it,-39.0,52.0,232591050.0,4589584,AP-LAIB3D-03,Student
7888,a80305b09ee39c363ad7eaa2338a5c566c26801e86bcafbab0dd2a89248d3921,18f6488d566697f2543334fc69ae3a4eb1aa95add5aec0efda80ec8d82b34085,studenti.polito.it,-61.0,34.0,1310279.0,694806,AP-AULA1S-01,Student
7889,56bc7f9aecdd2f307e93e0e62f881faa553126dda5bc1a3f081e149ea51215db,77f5f14cfd6910d53858c51d8421e147f55c8e1541e2b836a19fe7ee1c2d21a5,polito.it,-58.0,34.0,732251938.0,37550879,AP-AULA4-02,Staff
7890,4f4f5b507d0c4e8b22275ee67bd2203d4669a007164d82d55953d77f8bdabcb9,0894d7aac5787ff5060e698e38cb5d735652ba3a79fb04c2cc55b56d51724faa,studenti.polito.it,-52.0,39.0,584469651.0,6468800,AP-AULA9T-01,Student
7891,a033ae3140a9c495eaa10d9d14968ce784b7f79a2e65992a215cc8516d5a0ec4,fc08a488c34a02e3d645045718de3b874d19d3722574f60e9693d41e4af641a6,studenti.polito.it,-45.0,48.0,17393992.0,4519582,AP-AULA1M-01,Student
7892,a8402e4347d376c7b63a228f93a6ee55d62f8471af96cf587cbbf43e17523a67,e9ffac4f72aea676149eeae891f0933e65b4269b8a806e5b13b25a34a6f9ee4f,studenti.polito.it,-47.0,48.0,544940035.0,8342223,AP-SETTE-REALLAB,Student
7893,899c81195f387b52779066d3f8434f6cb213e2552e41f262b6b0952ae7cdba8e,289b8475dc227a99050bd71683d185d3309a647c4e1cf7593cf8473ac4fe4ae0,studenti.polito.it,-39.0,53.0,18021260.0,5185364,AP-AULA15A-02,Student
7894,9ceafe05235032b3eb660198749e8770b3e748e323c7311baaf7c71e46389317,0cb75175ba084e5d92af62dc6766807c890bb7b2a308364e3aaa297556623239,polito.it,-45.0,43.0,173736661.0,31583173,AP-DISPEA02,Staff
7895,32470076960b2257c1fd700e76ca62b076b63b409bd62d1f0eba3e29a12c4ce6,84f803a2e480cd9de4e2b841d62ea4664b28871053016154d04197ba238c577a,studenti.polito.it,-43.0,51.0,91179039.0,8809978,AP-AULA12D-02,Student
7896,ccf650474f772bcb4054f8078fec5648ff2966098c3b53fdc08f9811534dbd05,888d7a2299ae90903e0ff9b22a752c4071bf9a1f12b39eb58298db1bc91e10bc,studenti.polito.it,-59.0,34.0,176784068.0,2206432,AP-DIMEC16,Student
7897,c2c6ec5bd42f46c17d3734f0054986de24dd871537ab3195f3736ec9ade135a5,087e01f87dc445d93873e2d27f05315333a48be84e0012a8235bce2af40b7e4e,studenti.polito.it,-55.0,40.0,186515302.0,16809945,AP-AULA8D-02,Student
7898,270f8bed333743ef30095635d851ee242f12e58370399e6605f00a7e3b5f18d0,e843e035ce89a89f2998c5819089c043393cd285e6db6c953d751caf19da1d77,studenti.polito.it,-49.0,44.0,1050788669.0,12986400,AP-AULA4-01,Student
7899,a68279c880f7d57be570b225c937d98d0dfba86c64fe7149541c558097a30e48,ec3f93db6e84c3713d2ccec62bb3a43b82993fe64f4d8c63cf4982f31a9fa13a,studenti.polito.it,-59.0,36.0,421386342.0,2263712750,AP-AULA08-01,Student
7900,e9815302752a7b7da734ebc6228f59e30a32b6db80919d3042ec6b86d7240be5,c11d47431f41cf1a0be2a46849265854860ac4ba8ff7208b8e26f51eff8b589e,studenti.polito.it,-55.0,38.0,721017128.0,17474505,AP-AULA1P-01,Student
7901,83b675a0c4ead3fc61c7e9482fa02730d89f4eae2c2a617858f25a20af44046d,78ab6a145338ed153046e9fe8c8b981369c7e8e9ea8c602bccfddf372f7cfa31,polito.it,-74.0,20.0,215390384.0,6564131,AP-GRAPHENE,Staff
7902,dfa6f37b74d81f46a13d4d3a1e41497f8ecb3a44d8564fdba9870b28956d50ae,1878713e047426e4a0f4bfc153923e9750039ff21daf67cb9971c142f7ba01cf,studenti.polito.it,-59.0,32.0,131895502.0,6098564,AP-AULASTUDIO3-3,Student
7903,092d5f89f9daaedbe4d5ce34d6bcccee6995a88c3c96248d9cad67fc45842bb8,4a9b469c647059ac7e08ff5e595c93268d05f2fd613b7db03da6dc2bd4c8bf55,studenti.polito.it,-57.0,37.0,1739186652.0,47461209,AP-BCI-ST-09,Student
7904,e4f6464625d18866e84f3ab9b629f7a07edfa02cadffeb597cb81743df522f7b,d36d4f0acb524941f101ac864387c1131e41994b2c2850c076f3dfa481c12ba5,studenti.polito.it,-38.0,57.0,7986259.0,3051434,AP-AULA12A-03,Student
7905,11c4bfbdc5180a4229db6ed67df2da8e4911e608665a63881e6ba4ecaeca2ef4,14d284a19cc311c3ee8bd5abb3248d87ec41ef1a9a707615895771c90ea3213a,studenti.polito.it,-52.0,44.0,30576556.0,4095801,AP-AULA6-02,Student
7906,5892985daf7fdaca22d4677b682149cafed0d012b5d69998ed5c1f0f8c017bf3,073918f1dfaa9f70e8a731f9a36285dae1cd1c7027e22d305b484829149c4ba4,polito.it,-60.0,31.0,98275199.0,17769285,AP-DISMIC21,Staff
7907,6fc2f2ae3d5b9436c4969064d8a71fdb3f587579d49980b919df64c0a0745063,1467b9ebb38c8f01ff8a4a8be5f9693b6c3d775db8bbd2078b26df28e5af765f,polito.it,-55.0,40.0,1130595112.0,85938129,AP-DENERCT01,Staff
7908,0a366c5d2f0188caebd0fac40f6f4648abdb277411cd844ea0638f8816b2d4a9,bea4b61a157d8eef9aa12718fff0ab4b009846d11128213d82865992c809099f,studenti.polito.it,-53.0,32.0,110443576.0,8407393,AP-AULA27B-02,Student
7909,caaf7031176b3d6addc3eb975fdccdb5f7cb65f2e161a9be29adb3b4335a4fd0,76c73791e5c4e556a360305962bec239de7aa24e597f7eb58d61ceda21b76d55,studenti.polito.it,-57.0,35.0,10490904.0,1683912,AP-LAB-ANGLESIO-04,Student
7910,a8147b05db5479f128a619f954ee90a571ae93d4bc2b686756fc880a3ae6b007,298987c78ac05d7fcf4a6a3fb4a45fb1293707dc8bebe2fd10f0e7d97b925321,studenti.polito.it,-57.0,32.0,6096088.0,1143565,AP-AULA2N-01,Student
7911,c1e34c56747f226a6bf3c6f6a66b015d1912be7917ac9093400c6ff12b91d6d2,76dbe5147e1df5811f40c3c9f037ed8437aa6216b0c398c68a2b1a8edbf8f243,studenti.polito.it,-54.0,40.0,13895579.0,902001,AP-AULAR4-02,Student
7912,a444baa127afd276cf16add9963c7fe1348bcce44f5cc6b71fdfdc62322f0430,86189464b007376c10c36c6a105b57ee04ae1911d64de3950bbf95dafbf0b6a1,studenti.polito.it,-61.0,34.0,6787790.0,1614171,AP-AULAR2B-04,Student
7913,433ccafa58c131285c3affa3f9e33c39937071590462f7913a57c9617ac71a49,9cafb450f262c54ce9a919ecb0578d3bcd73cf5a83ded31a3f29b901fbdb4acc,polito.it,-64.0,30.0,25520293.0,7748950,AP-DISMIC09,Staff
7914,bae75823a204b09fab0681669d90a7e80bff87956bb0c8c89dba68c182c5744a,2dc12a2e29850df02779beeae407861f8a39e50fd9c459e61daaf582eeea4776,studenti.polito.it,-76.0,17.0,1584756.0,3238072,AP-CIT-DET2-01,Student
7915,83671c5106f08fd8f9194ce2313ad48491fdcab5160d1e2cc66680c64b127411,c72b39a69bdfa8b9030f151a9c227678005941f2b70e2246a34d23508bc3eb8a,polito.it,-69.0,25.0,10650.0,34469,AP-FISLAB3,Staff
